../build/src/gnucap -a ../gnucap-icarus/gnucap-icarus.so -c verilog netlist-dkc.sp </dev/null  -- gnucap-icarus as plugin
Gnucap 2009.02.02 RCS 26.109
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2007, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
transient: already installed, replacing
stashing as transient:0
#Time       v(gnd!)    v(n1)      v(n2)      v(n3)      v(n4)      v(n5)      v(vdd!)   
0.0 IN ->z
 0.         0.         0.         3.         8.3195n    3.         8.3195n    3.        
0.0 IN ->0
 10.p       1.f        4.f        3.         86.259n    3.        -4.9111n    3.        
 20.p       1.f       -3.f        3.        -104.63n    3.         30.397n    3.        
 30.p       1.f        5.f        3.         166.3n     3.        -22.829n    3.        
 40.p       2.f       -2.f        3.        -222.43n    3.         49.333n    3.        
 50.p       2.f        5.f        3.         344.2n     3.        -42.507n    3.        
 60.p       3.f        0.         3.        -489.26n    3.         65.709n    3.        
 70.p       4.f        8.f        3.         748.04n    3.        -48.294n    3.        
 80.p       4.f       -1.f        3.        -1.1008u    3.         47.287n    3.        
 90.p       5.f        10.f       3.         1.6778u    3.         18.988n    3.        
10.0 OUT->1 IN=0
 100.p      5.f       -2.f        3.        -2.517u     3.        -111.72n    3.        
 110.p      6.f        3.         3.1891     0.032054   3.0069     0.0018766  3.        
 120.p      10.f       3.         1.8662    -0.21965    2.9483    -0.016599   3.        
 130.p      13.f       3.         0.8421    -0.065658   3.0134     0.015098   3.        
 140.p      18.f       3.         0.35414    0.44523    3.1143     0.020995   3.        
 150.p      16.f       3.         0.20288    1.1217     3.1437    -0.00449    3.        
 160.p      15.f       3.         0.14361    1.7139     2.9057    -0.061843   3.        
 170.p      17.f       3.         0.096887   2.1211     2.3883    -0.12892    3.        
 180.p      16.f       3.         0.059309   2.3605     1.689     -0.11259    3.        
 190.p      18.f       3.         0.037918   2.5169     1.0102     0.20511    3.        
 200.p      18.f       3.         0.034027   2.6776     0.63966    1.2916     3.        
19.9 IN ->1
 210.p      15.f       3.         0.026173   2.7931     0.41664    2.3944     3.        
 220.p      20.f       3.         0.014604   2.8523     0.1981     2.8598     3.        
 230.p      18.f       3.         0.010747   2.9014     0.066447   2.9476     3.        
 240.p      21.f       3.         0.0090832  2.9447     0.026504   2.9854     3.        
